time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-04-13 14:34:14.761 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,33036161024,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1555166053011, , , , ,3145728,1218, , , ,94,4,156,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , ,2,2796,10,943,316172680,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-13 14:35:14.763 UTC, ,12529,938537753,25776,935379160,336, ,4070, ,499237, , , , , , , , , ,4070,39, , , ,4097,2,6, ,554, , , , , , , , , , , ,483277, , ,395137587446,47,20010008,395137327002,46,3290,102,317,927843852,36799774720,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,927843852, ,1555166053011, , , , ,3145728,395146988191, ,1047958, ,656,46,17923,46,186,46, , ,3,138, , , , , , , ,3496,92, , ,192512,94,929908891,971, , , ,1,5,6784,98,5722,1508980952,-1, , , , , , ,495453, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,494498, , ,2,3,2, , , , , , 
2019-04-13 14:36:15.809 UTC, ,14589,1109116517,30872,1105955864,336, ,4935, ,105927, , , , ,7294992, ,20580344, , ,4935,46, ,112, ,4969,129,5,14905,211, , , , , , ,124,124, , ,98,105695, , ,481037066773,57,20007661,481036753143,10,722,18,64,1124814966,36598652928,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1124814966, ,1555166053011, , , , ,3145728,481043897503, , , ,1031,10,4297,10,40,10, , ,3,30, , , , , , , ,760,20, , ,40960,20,196996334,200, , , , ,51,51885, , ,1594197248,-1, , , , , , ,105126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,104834, , , , , , , , , , , 
2019-04-13 14:37:16.306 UTC, ,16493,1109799997,33056,1106637440,336, ,5331, ,47807, , , , ,27095304, ,61362032, , ,5331,49, ,335, ,5368,515,5,46890,315, , , , , , ,383,379, , ,324,47482, , ,515396697916,61,20007291,515396526517,4,271,7,25,1215126430,36512198656,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1215126430, ,1555166053011, , , , ,3145728,519697357882, , , ,1045,4,4117,4,18,4, , ,3,13, , , , , , , ,342,9, , ,18432,9,89263277,89, , , , ,55,56398, , ,1593658864,-1, , , , , , ,47434, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47087, , , , , , , , , , , 
2019-04-13 14:38:17.110 UTC, ,17303,1109565703,35552,1106402336,336, ,5716, ,47736, , , , ,27969280, ,61092472, , ,5716,52, ,332, ,5757,912,5,47315,331, , , , , , ,397,393, , ,308,47392, , ,558346619677,66,20007712,558346230902,5,367,9,33,1302846450,36426547200,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1302846450, ,1555166053011, , , , ,3145728,558350638181, , , ,1032,5,4379,5,18,5, , ,3,14, , , , , , , ,342,9, , ,18432,9,87719222,88, , , , ,55,56341, , ,1593866840,-1, , , , , , ,47381, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47008, , , , , , , , , , , 
2019-04-13 14:39:17.747 UTC, ,18279,1108646327,37736,1105481984,336, ,6089, ,45842, , , , ,26077816, ,60303528, , ,6089,55, ,320, ,6133,1295,5,45592,312, , , , , , ,382,379, , ,282,45520, , ,592706469439,70,20021300,592706008025,4,284,7,26,1387140702,36342218752,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1387140702, ,1555166053011, , , , ,3145728,597000559485, ,1047831, ,1114,4,4782,4,16,4, , ,3,13, , , , , , , ,304,8, , ,16384,8,85976164,86, , , ,1,53,55957, , ,1592931136,-1, , , , , , ,45493, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45148, , , , , , , , , , , 
2019-04-13 14:40:18.221 UTC, ,19279,1108528711,39712,1105363368,336, ,6440, ,42231, , , , ,24418696, ,54458896, , ,6440,58, ,297, ,6487,1646,5,41754,287, , , , , , ,351,347, , ,254,41937, , ,627065944980,74,20001418,627065770463,4,271,7,25,1467917161,36259594240,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1467917161, ,1555166053011, , , , ,3145728,627073922493, , , ,1333,4,2226,4,16,4, , ,3,11, , , , , , , ,304,8, , ,16384,8,78046459,78, , , , ,49,57478, , ,1592771936,-1, , , , , , ,41904, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41585, , , , , , , , , , , 
2019-04-13 14:41:18.754 UTC, ,21207,1109535519,41896,1106368248,336, ,6816, ,46350, , , , ,27768024, ,57014720, , ,6816,61, ,312, ,6865,2020,5,43358,301, , , , , , ,369,373, , ,263,46038, , ,661425763736,78,20008048,661425535103,4,276,7,26,1552997473,36176310272,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552997473, ,1555166053011, , , , ,3145728,665724239799, , , ,1391,4,5658,4,18,4, , ,3,13, , , , , , , ,342,9, , ,18432,9,86128490,86, , , , ,53,56102, , ,1593784680,-1, , , , , , ,45998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45664, , , , , , , , , , , 
2019-04-13 14:42:19.624 UTC, ,21743,1109359583,43976,1106191776,336, ,7182, ,45094, , , , ,27853464, ,55706672, , ,7182,63, ,300, ,7233,2384,5,43664,291, , , , , , ,362,364, , ,273,44793, , ,695785554466,82,20007924,695785309988,4,290,9,28,1635082731,36092100608,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1635082731, ,1555166053011, , , , ,3145728,700087211798, ,1047080, ,1186,4,3822,4,16,4, , ,3,12, , , , , , , ,304,8, , ,16384,8,83132122,83, , , ,1,52,57243, , ,1592282664,-1, , , , , , ,44750, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44423, , , , , , , , , , , 
2019-04-13 14:43:20.320 UTC, ,22529,1108245385,46472,1105076792,336, ,7584, ,49558, , , , ,28928048, ,63825424, , ,7584,67, ,332, ,7640,2787,5,48487,335, , , , , , ,400,402, , ,308,49212, , ,738735373791,87,20006939,738735017538,5,363,9,32,1727122521,36002013184,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1727122521, ,1555166053011, , , , ,3145728,738743438621, ,2094535, ,963,5,2704,5,18,5, , ,3,14, , , , , , , ,342,9, , ,18432,9,90991743,91, , , ,2,56,56902, , ,1592233144,-1, , , , , , ,49188, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48813, , , , , , , , , , , 
